dpiano,بيانو,
educator,معلم,معلمة
calculus,تحليل,
sunrise,شروق الشمس,
,,
depressed,مكتئب,
caterpillar,يرقة,
family,عائلة,
zinnia,الزينية,
crocus,زعفران,
freedom,حرية,
always,دائما,
,,
,,
divorce,طلاق,
magnolia,شجرة المغنولية,
,,
parents,الآباء,
cockroach,صرصور,
war,حرب,
Heather,إكليل الجبل,
mace,صولجان,
engineer,مهندس,مهندسة
agony,سكرة,
therapist,معالج,معالجة
specialist,متخصص,متخصصة
,,
experiment,تجربة,
peace,سلام,
chemistry,كيمياء,
,,
,,
corporation,مؤسسة,
,,
clover,نفل,
roach,صرصور,
sword,سيف,
,,
pathologist,إخصائي علم الأمراض,إخصائية علم الأمراض
poison,سم,
,,
weevil,سوسة الفاكهة,
,,
hers,لها,
bagpipe,مزمار القربة,
,,
,,
lilac,أرجواني,
marigold,الآذريون,
trombone,الترومبون,
harpoon,رمح,
stink,نتن,
he,هو,
hygienist,أخصائي صحة,أخصائية صحة
planner,مخطط,
caress,عناق,
lawyer,محامي,محامية
pansy,زهرة الثالوث,
,,
chronic,مزمن,
business,أعمال,
,,
carnation,قرنفل,
,,
cousins,أبناء عم,بنات عم
,,
electrician,عامل الكهرباء,عاملة كهرباء
tulip,توليب,
,,
drama,دراما,
,,
,,
nasty,مقرف,
career,مهنة,
,,
,,
librarian,أمين المكتبة,أمينة المكتبة
manager,مدير,مديرة
fiddle,كمان,
teargas,غاز مسيل للدموع,
,,
petunia,البتونيا,
worker,عامل,عاملة
flea,برغوث,
,,
,,
moth,العتة,
,,
awful,سيى,
bassoon,الباسون,
tragedy,مأساة,
assault,الاعتداءات,
,,
son,ابن,
her,لها,
sick,مرض,
illness,مرض,
,,
horsefly,ذبابة الخيل,
grandfather,جد,
scientist,عالم,عالمة
cheer,يشجع,
mandolin,مندولين,
,,
lily,زنبق,
dynamite,ديناميت,
orchid,السحلب,
iris,قزحية,
lute,عود,
art,فن,
grandmother,جدة,
hatred,كراهية,
harmonica,هارمونيكا,
,,
,,
astronomy,فلك,
disaster,كارثة,
shotgun,بندقية الصيد,
daughter,ابنة,
violet,بنفسجي,
aunt,عمة,
Theo,ثيو,
professional,محترفين,
,,
arrow,سهم,
,,
,,
whip,سوط,
nurse,ممرض,ممرضة
prison,سجن,
machinist,ميكانيكي,ميكانيكية
paradise,جنة,
,,
tearful,مدمع,
,,
,,
,,
miserable,تعيس,
,,
gnat,ناموس,
mechanic,الميكانيك,
forever,إلى الأبد,
centipede,حريش,
disease,مرض,
,,
boy,صبي,
counselor,مستشار,مستشارة
terrible,رهيب,
,,
,,
,,
murder,قتل,
,,
carpenter,نجار,نجارة
novel,رواية,
daffodil,نرجس,
woman,نساء,
flute,مزمار,
trumpet,بوق,
,,
health,صحة,
vacation,عطلة,
,,
practitioner,ممارس,ممارسة
instructor,مدرب,مدربة
investigator,محقق,محققة
math,الرياضيات,
diamond,الماس,
architect,مهندس معماري,مهندسة معمارية
rotten,فاسد,
slingshot,مقلاع,
azalea,أزالية,
physics,فيزيائية,
firearm,سلاح ناري,
cricket,كريكيت,
jail,سجن,
,,
unstable,غير مستقر,
NASA,ناسا,
,,
filth,رجس,
veterinarian,طبيب بيطري,طبيبة بيطري
clarinet,مزمار,
surgeon,جراح,جراحة
baker,خباز,خبازة
,,
prolonged,فترة طويلة,
receptionist,موظف الإستقبال,موظفة الإستقبال
brother,شقيق,
,,
missile,صاروخ,
pharmacist,صيدلاني,صيدلانية
,,
crash,تحطم,
rifle,بندقية,
wonderful,رائع,
pollute,تلوث,
,,
,,
sad,حزين,
grief,حزن,
she,هي,
cannon,مدفع,
uncle,عم,
management,إدارة,
nutritionist,اخصائي تغذيه,اخصائية تغذية
dagger,خنجر,
cello,تشيلو,
fly,يطير,
girl,فتاة,
marriage,زواج,
aster,أزهار النجمية,
bongo,بونغو,
beetle,خنفساء,
father,الآب,
clerk,موظف,موظفة
blue-bell,الجريس,
advisor,مستشار,مستشارة
peony,الفاوانيا,
spider,عنكبوت,
,,
diploma,دبلوم,
psychologist,الطبيب النفسي,الطبيبة النفسية
,,
brief,نبذة,
,,
axe,فأس,
,,
death,موت,
bedbug,حشرة الفراش,
chemist,كيميائي,
gentle,لطيف,
paralegal,شبه القانوني,
daisy,أقحوان,
dance,رقص,
virus,فيروس,
paramedic,مسعف,مسعفة
failure,فشل,
rose,زهرة,
occasional,عرضي,
harpsichord,القيثارة,
relatives,أقارب,
female,أنثى,
saxophone,ساكسفون,
,,
hopeless,ميئوس منه,ميئوس منها
bomb,قنبلة,
,,
,,
pistol,مسدس,
lucky,محظوظ,محظوظة
office,مكتب,
,,
poetry,الشعر,
ugly,بشع,
,,
vomit,قيء,
tuba,توبا,
executive,تنفيذي,
laughter,ضحك,
,,
,,
joy,فرح,
happy,سعيد,
,,
,,
loyal,مخلص,مخلصة
,,
maggot,يرقة,
,,
administrator,مدير,مديرة
bartender,عامل البار,عاملة البار
,,
symphony,سمفونية,
rainbow,قوس المطر,
,,
violin,كمان,
,,
plumber,سباك,سباكة
bell,جرس,
dragonfly,يعسوب,
gun,بندقية,
honest,صادق,
buttercup,الحوذان عشب,
miracle,معجزة,
,,
technician,فني,فنية
geometry,علم الهندسة,
,,
abuse,إساءة,
knife,سكين,
sculpture,نحت,
,,
supervisor,مشرف,
numbers,أعداد,
,,
locust,جراد,
fleeting,عابر,
technology,تقنية,
spear,رمح,
hornet,دبور,
gift,هدية,
,,
stable,مستقر,
poppy,خشخاش,
officer,ضابط,ضابطة
examiner,محقق,محققة
friend,صديق,صديقة
kill,قتل,
drum,طبل,
,,
banjo,البانجو,
hatchet,فأس,
,,
mosquito,بعوض,
,,
mother,أم,
short-term,المدى القصير,
computation,حساب,
hairdresser,حلاق,
wedding,حفل زواج,
harp,قيثارة,
,,
salesperson,مندوب مبيعات,مندوبة مبيعات
,,
,,
,,
club,النادي,
children,الأطفال,
oboe,مزمار,
him,له,
sickness,غثيان,
gloomy,كئيب,
tank,خزان,
,,
janitor,بواب,
,,
horrible,رهيب,
teacher,مدرس,مدرسة
poverty,فقر,
equations,معادلات,
programmer,مبرمج,مبرمجة
impermanent,زائل,
male,الذكر,
,,
wasp,دبور,
science,علم,
,,
influenza,إنفلونزا,
,,
,,
bee,نحلة,
,,
accident,حادث,
accountant,محاسب,
pleasure,سرور,
grenade,قنبلة يدوية,
home,منزل,
variable,متغير,
man,رجل,
,,
termite,نمل أبيض,
,,
guitar,غيتار,
blackfly,ذبابة سوداء,
,,
,,
heaven,الجنة,
literature,الأدب,
inspector,مفتش,مفتشة
addition,إضافة,
sister,أخت,
evil,شر,
persistent,مستمر,
,,
,,
constant,ثابت,
,,
honor,شرف,
appraiser,مخمن,مخمنة
love,حب,
hyacinth,صفير,
,,
,,
horn,بوق,
ant,,نملة
cancer,سرطان,
tarantula,عنكبوت ذئبي,
blade,,شفرة
algebra,علم الجبر,
viola,كمان,
physician,الطبيب المعالج,الطبيبة المعالجة
,,
his,له,
salary,راتب,